,Unnamed: 0,시군구법정동번지코드,시군구법정동번코드_x,시군구법정동코드_x,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번,시군구법정동번코드_y,시군구법정동코드_y,번,지,주소,분류,기업,이름,비고,임차여부,전력사용량
0,374585,3020012300529,302001230052,3020012300,52,9,5989202,대전광역시,유성구,어은동,302003167005.0,과학로,169.0,148.0,302001230052,3020012300,52,9,대전 유성구 과학로 169-148 한국기초과학지원연구원(어은동 52-9),공공,기초과학연구원,기초과학연구원 본원 데이터센터,O 자체 데이터센터,-,
1,368641,30170106006490,3017010600649,3017010600,649,0,2186016,대전광역시,서구,탄방동,301704298367.0,문정로48번길,30.0,0.0,3017010600649,3017010600,649,0,대전광역시 서구 문정로 48번길 30 KT 탄방사옥 3F 대전IDC센터,통신,KT,KT 대전 IDC,-,-,
2,368186,30200142001401,3020014200140,3020014200,140,1,4104641,대전광역시,유성구,원촌동,302003167043.0,엑스포로,325.0,0.0,3020014200140,3020014200,140,1,대전광역시 유성구 원촌동 엑스포로 325(원촌동 140-1),민간,SK C&C,대덕 데이터센터,-,-,
3,370354,3020012300520,302001230052,3020012300,52,0,1932507,대전광역시,유성구,어은동,302003167005.0,과학로,125.0,0.0,302001230052,3020012300,52,0,대전 유성구 과학로 125,공공,한국생명공학연구원,통합전산센터,-,-,
4,350811,30170106006630,3017010600663,3017010600,663,0,422124,대전광역시,서구,탄방동,301704298073.0,계룡로553번길,66.0,0.0,3017010600663,3017010600,663,0,대전광역시 서구 계룡로553번길 66,통신,LG U+,LG U+대전 센터,기타분류,-,
5,348298,301101130029374,3011011300293,3011011300,293,74,5000,대전광역시,동구,소제동,301103164033.0,중앙로,240.0,0.0,3011011300293,3011011300,293,74,대전 동구 중앙로 240,공공,한국철도공사,통합전산센터,-,-,
6,358071,30200143008470,3020014300847,3020014300,847,0,926,대전광역시,유성구,탑립동,302003167069.0,테크노10로,7.0,0.0,3020014300847,3020014300,847,0,대전 유성구 테크노10로 7,공공,한국조폐공사,성과관리처 경영정보팀,-,-,
7,357450,3020013000621,302001300062,3020013000,62,1,1132,대전광역시,유성구,화암동,302002010001.0,대덕대로,755.0,0.0,302001300062,3020013000,62,1,대전광역시 유성구 대덕대로 755(화암동 62-1),공공,국가정보자원관리원,국가정보자원관리원 대전센터,O 자체 데이터센터,-,
8,357442,3020012800244,302001280024,3020012800,24,4,590220,대전광역시,유성구,장동,302003167002.0,가정북로,145.0,0.0,302001280024,3020012800,24,4,대전광역시 유성구 가정북로 145,-,-,롯데정보통신 제2센터,-,-,
